Date,Open,High,Low,Close,Adj Close,Volume
2017-11-08,239.800003,239.800003,239.800003,239.800003,229.101639,0
2017-11-09,238.960007,238.960007,238.960007,238.960007,228.299118,0
2017-11-10,238.830002,238.830002,238.830002,238.830002,228.174927,0
2017-11-13,239.059998,239.059998,239.059998,239.059998,228.394653,0
2017-11-14,238.550003,238.550003,238.550003,238.550003,227.907379,0
2017-11-15,237.279999,237.279999,237.279999,237.279999,226.694046,0
2017-11-16,239.300003,239.300003,239.300003,239.300003,228.623932,0
2017-11-17,238.679993,238.679993,238.679993,238.679993,228.031601,0
2017-11-20,238.990005,238.990005,238.990005,238.990005,228.327774,0
2017-11-21,240.559998,240.559998,240.559998,240.559998,229.827698,0
2017-11-22,240.399994,240.399994,240.399994,240.399994,229.674866,0
2017-11-24,240.910004,240.910004,240.910004,240.910004,230.162109,0
2017-11-27,240.839996,240.839996,240.839996,240.839996,230.095230,0
2017-11-28,243.220001,243.220001,243.220001,243.220001,232.369064,0
2017-11-29,243.160004,243.160004,243.160004,243.160004,232.311707,0
2017-11-30,245.240005,245.240005,245.240005,245.240005,234.298935,0
2017-12-01,244.750000,244.750000,244.750000,244.750000,233.830780,0
2017-12-04,244.500000,244.500000,244.500000,244.500000,233.591934,0
2017-12-05,243.589996,243.589996,243.589996,243.589996,232.722534,0
2017-12-06,243.570007,243.570007,243.570007,243.570007,232.703430,0
2017-12-07,244.330002,244.330002,244.330002,244.330002,233.429504,0
2017-12-08,245.699997,245.699997,245.699997,245.699997,234.738373,0
2017-12-11,246.490005,246.490005,246.490005,246.490005,235.493149,0
2017-12-12,246.869995,246.869995,246.869995,246.869995,235.856216,0
2017-12-13,246.759995,246.759995,246.759995,246.759995,235.751114,0
2017-12-14,245.800003,245.800003,245.800003,245.800003,234.833939,0
2017-12-15,248.020004,248.020004,248.020004,248.020004,236.954895,0
2017-12-18,249.360001,249.360001,249.360001,249.360001,238.235107,0
2017-12-19,248.550003,248.550003,248.550003,248.550003,237.461258,0
2017-12-20,248.380005,248.380005,248.380005,248.380005,237.298828,0
2017-12-21,248.869995,248.869995,248.869995,248.869995,237.766968,0
2017-12-22,247.630005,247.630005,247.630005,247.630005,237.657562,0
2017-12-26,247.380005,247.380005,247.380005,247.380005,237.417664,0
2017-12-27,247.589996,247.589996,247.589996,247.589996,237.619186,0
2017-12-28,248.089996,248.089996,248.089996,248.089996,238.099045,0
2017-12-29,246.820007,246.820007,246.820007,246.820007,236.880203,0
2018-01-02,248.880005,248.880005,248.880005,248.880005,238.857239,0
2018-01-03,250.470001,250.470001,250.470001,250.470001,240.383209,0
2018-01-04,251.529999,251.529999,251.529999,251.529999,241.400497,0
2018-01-05,253.300003,253.300003,253.300003,253.300003,243.099258,0
2018-01-08,253.720001,253.720001,253.720001,253.720001,243.502335,0
2018-01-09,254.119995,254.119995,254.119995,254.119995,243.886200,0
2018-01-10,253.839996,253.839996,253.839996,253.839996,243.617493,0
2018-01-11,255.649994,255.649994,255.649994,255.649994,245.354599,0
2018-01-12,257.369995,257.369995,257.369995,257.369995,247.005325,0
2018-01-16,256.470001,256.470001,256.470001,256.470001,246.141571,0
2018-01-17,258.880005,258.880005,258.880005,258.880005,248.454529,0
2018-01-18,258.480011,258.480011,258.480011,258.480011,248.070633,0
2018-01-19,259.619995,259.619995,259.619995,259.619995,249.164703,0
2018-01-22,261.720001,261.720001,261.720001,261.720001,251.180176,0
2018-01-23,262.290009,262.290009,262.290009,262.290009,251.727203,0
2018-01-24,262.149994,262.149994,262.149994,262.149994,251.592850,0
2018-01-25,262.309998,262.309998,262.309998,262.309998,251.746384,0
2018-01-26,265.420013,265.420013,265.420013,265.420013,254.731201,0
2018-01-29,263.640015,263.640015,263.640015,263.640015,253.022812,0
2018-01-30,260.790009,260.790009,260.790009,260.790009,250.287613,0
2018-01-31,260.920013,260.920013,260.920013,260.920013,250.412384,0
2018-02-01,260.799988,260.799988,260.799988,260.799988,250.297165,0
2018-02-02,255.279999,255.279999,255.279999,255.279999,244.999496,0
2018-02-05,244.800003,244.800003,244.800003,244.800003,234.941528,0
2018-02-06,249.119995,249.119995,249.119995,249.119995,239.087555,0
2018-02-07,247.869995,247.869995,247.869995,247.869995,237.887924,0
2018-02-08,238.610001,238.610001,238.610001,238.610001,229.000809,0
2018-02-09,242.250000,242.250000,242.250000,242.250000,232.494217,0
2018-02-12,245.619995,245.619995,245.619995,245.619995,235.728500,0
2018-02-13,246.279999,246.279999,246.279999,246.279999,236.361908,0
2018-02-14,249.649994,249.649994,249.649994,249.649994,239.596191,0
2018-02-15,252.720001,252.720001,252.720001,252.720001,242.542587,0
2018-02-16,252.839996,252.839996,252.839996,252.839996,242.657761,0
2018-02-20,251.369995,251.369995,251.369995,251.369995,241.246964,0
2018-02-21,250.000000,250.000000,250.000000,250.000000,239.932144,0
2018-02-22,250.259995,250.259995,250.259995,250.259995,240.181656,0
2018-02-23,254.289993,254.289993,254.289993,254.289993,244.049377,0
2018-02-26,257.299988,257.299988,257.299988,257.299988,246.938126,0
2018-02-27,254.070007,254.070007,254.070007,254.070007,243.838226,0
2018-02-28,251.270004,251.270004,251.270004,251.270004,241.150986,0
2018-03-01,247.970001,247.970001,247.970001,247.970001,237.983871,0
2018-03-02,249.240005,249.240005,249.240005,249.240005,239.202728,0
2018-03-05,251.990005,251.990005,251.990005,251.990005,241.842010,0
2018-03-06,252.669998,252.669998,252.669998,252.669998,242.494614,0
2018-03-07,252.559998,252.559998,252.559998,252.559998,242.389038,0
2018-03-08,253.759995,253.759995,253.759995,253.759995,243.540710,0
2018-03-09,258.170013,258.170013,258.170013,258.170013,247.773132,0
2018-03-12,257.850006,257.850006,257.850006,257.850006,247.466003,0
2018-03-13,256.220001,256.220001,256.220001,256.220001,245.901642,0
2018-03-14,254.820007,254.820007,254.820007,254.820007,244.558029,0
2018-03-15,254.639999,254.639999,254.639999,254.639999,244.385254,0
2018-03-16,255.080002,255.080002,255.080002,255.080002,244.807556,0
2018-03-19,251.449997,251.449997,251.449997,251.449997,241.323730,0
2018-03-20,251.830002,251.830002,251.830002,251.830002,241.688446,0
2018-03-21,251.389999,251.389999,251.389999,251.389999,241.266144,0
2018-03-22,245.070007,245.070007,245.070007,245.070007,235.200668,0
2018-03-23,238.910004,238.910004,238.910004,238.910004,230.254608,0
2018-03-26,245.389999,245.389999,245.389999,245.389999,236.499832,0
2018-03-27,241.149994,241.149994,241.149994,241.149994,232.413452,0
2018-03-28,240.490005,240.490005,240.490005,240.490005,231.777359,0
2018-03-29,243.809998,243.809998,243.809998,243.809998,234.977081,0
2018-04-02,238.360001,238.360001,238.360001,238.360001,229.724518,0
2018-04-03,241.380005,241.380005,241.380005,241.380005,232.635117,0
2018-04-04,244.190002,244.190002,244.190002,244.190002,235.343323,0
2018-04-05,245.899994,245.899994,245.899994,245.899994,236.991364,0
2018-04-06,240.509995,240.509995,240.509995,240.509995,231.796616,0
2018-04-09,241.380005,241.380005,241.380005,241.380005,232.635117,0
2018-04-10,245.419998,245.419998,245.419998,245.419998,236.528732,0
2018-04-11,244.080002,244.080002,244.080002,244.080002,235.237305,0
2018-04-12,246.119995,246.119995,246.119995,246.119995,237.203354,0
2018-04-13,245.419998,245.419998,245.419998,245.419998,236.528732,0
2018-04-16,247.410004,247.410004,247.410004,247.410004,238.446640,0
2018-04-17,250.050003,250.050003,250.050003,250.050003,240.991028,0
2018-04-18,250.259995,250.259995,250.259995,250.259995,241.193390,0
2018-04-19,248.850006,248.850006,248.850006,248.850006,239.834503,0
2018-04-20,246.740005,246.740005,246.740005,246.740005,237.800934,0
2018-04-23,246.750000,246.750000,246.750000,246.750000,237.810562,0
2018-04-24,243.449997,243.449997,243.449997,243.449997,234.630112,0
2018-04-25,243.899994,243.899994,243.899994,243.899994,235.063812,0
2018-04-26,246.449997,246.449997,246.449997,246.449997,237.521454,0
2018-04-27,246.729996,246.729996,246.729996,246.729996,237.791321,0
2018-04-30,244.720001,244.720001,244.720001,244.720001,235.854095,0
2018-05-01,245.339996,245.339996,245.339996,245.339996,236.451630,0
2018-05-02,243.570007,243.570007,243.570007,243.570007,234.745758,0
2018-05-03,243.050003,243.050003,243.050003,243.050003,234.244598,0
2018-05-04,246.210007,246.210007,246.210007,246.210007,237.290131,0
2018-05-07,247.059998,247.059998,247.059998,247.059998,238.109329,0
2018-05-08,247.000000,247.000000,247.000000,247.000000,238.051514,0
2018-05-09,249.410004,249.410004,249.410004,249.410004,240.374207,0
